treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
object category "I_PF2_WPN_SpiralRapier",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_SpiritThresher",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Starknife",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Talwar",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Tetsubo",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_TrickyPick",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_WarFlail",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_WarJavelin",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_WarLance",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_WishBlade",1,0,0,0,0,0,0,0
object category "I_WPN_Goblin_Scimitar",1,0,0,0,0,0,0,0
object category "I_WPN_MeatCleaver",1,0,0,0,0,0,0,0
object category "I_WPN_WhippingCane",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_AldoriDuelingSword",1,0,0,0,0,0,0,0
object category "I_WPN_Greatclub",1,0,0,0,0,0,0,0
new treasuretable "ST_SimpleRangedWeapons"
new subtable "1,1"
object category "I_WPN_LightCrossbow",1,0,0,0,0,0,0,0
object category "I_WPN_HandCrossbow",1,0,0,0,0,0,0,0
object category "I_WPN_HeavyCrossbow",1,0,0,0,0,0,0,0
object category "I_WPN_Dart",1,0,0,0,0,0,0,0
object category "I_WPN_Sling",1,0,0,0,0,0,0,0
new treasuretable "ST_MartialRangedWeapons"
new subtable "1,1"
object category "I_WPN_Shortbow",1,0,0,0,0,0,0,0
object category "I_WPN_Longbow",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Aklys",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Arbalest",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_CompositeLongbow",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_CompositeShortbow",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_PhalanxPiercer",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_TawLauncher",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Kestros",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Spraysling",1,0,0,0,0,0,0,0
new treasuretable "ST_AllSimpleRangedWeapons"
new subtable "1,1"
object category "I_WPN_LightCrossbow",1,0,0,0,0,0,0,0
object category "I_WPN_HandCrossbow",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "3"
object category "I_WPN_HeavyCrossbow",1,0,0,0,0,0,0,0
object category "I_WPN_Dart",1,0,0,0,0,0,0,0
object category "I_WPN_Sling",1,0,0,0,0,0,0,0
new treasuretable "ST_AllMartialRangedWeapons"
new subtable "1,1"
object category "I_WPN_Shortbow",1,0,0,0,0,0,0,0
object category "I_WPN_Longbow",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Aklys",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "3"
object category "I_PF2_WPN_Arbalest",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_CompositeLongbow",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_CompositeShortbow",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "3"
object category "I_PF2_WPN_PhalanxPiercer",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_TawLauncher",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Kestros",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Spraysling",1,0,0,0,0,0,0,0
new treasuretable "ST_Finesse_MeleeWeapons"
new subtable "1,1"
object category "I_WPN_Dagger",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_FilchersFork",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Flyssa",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Karambit",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Kris",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Kukri",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_LionScythe",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Liuyedao",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Main-Gauche",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Starknife",1,0,0,0,0,0,0,0
object category "I_WPN_WhippingCane",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_AldoriDuelingSword",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_LightMace",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_Wakizashi",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_WishKnife",1,0,0,0,0,0,0,0
new treasuretable "_Equipment_Armor"
new treasuretable "ST_LightArmor"
CanMerge 1
new subtable "1,1"
object category "I_PF2_ARM_ArmoredCoat_Body",2,0,0,0,0,0,0,0
object category "I_PF2_ARM_KiltedBreastplate_Body",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_LeafWeave_Body",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_MantisShell_Body",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Quilted_Body",2,0,0,0,0,0,0,0
object category "I_PF2_ARM_Rattan_Body",1,0,0,0,0,0,0,0
new treasuretable "ST_MediumArmor"
new subtable "1,1"
object category "I_ARM_RingMail_Body",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_CeramicPlate_Body",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_HellknightBreastplate_Body",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_WoodenBreastplate_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
EndLevel "3"
object category "I_ARM_Hide_Body",1,0,0,0,0,0,0,0
object category "I_ARM_ChainShirt_Body",2,0,0,0,0,0,0,0
object category "I_ARM_ScaleMail_Body",2,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "4"
EndLevel "6"
object category "I_ARM_ChainShirt_Body",1,0,0,0,0,0,0,0
object category "I_ARM_ScaleMail_Body",1,0,0,0,0,0,0,0
object category "I_ARM_Breastplate_Body",3,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "7"
object category "I_ARM_ChainShirt_Body",1,0,0,0,0,0,0,0
object category "I_ARM_ScaleMail_Body",1,0,0,0,0,0,0,0
object category "I_ARM_Breastplate_Body",3,0,0,0,0,0,0,0
new treasuretable "ST_HeavyArmor"
new subtable "1,1"
object category "I_PF2_ARM_BastionPlate_Body",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_FortressPlate_Body",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_HellknightHalfPlate_Body",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_HellknightPlate_Body",1,0,0,0,0,0,0,0
new subtable "1,1"
EndLevel "4"
object category "I_ARM_ChainMail_Body",2,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "5"
EndLevel "6"
object category "I_ARM_ChainMail_Body",1,0,0,0,0,0,0,0
object category "I_ARM_Splint_Body",3,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "7"
object category "I_ARM_ChainMail_Body",1,0,0,0,0,0,0,0
object category "I_ARM_Splint_Body",1,0,0,0,0,0,0,0
object category "I_ARM_Plate_Body",3,0,0,0,0,0,0,0
new treasuretable "Shields"
CanMerge 1
new subtable "1,1"
object category "I_PF2_ARM_TowerShield",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Buckler_Duergar",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_MeteorShield",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_RazorDisc",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_TowerShield_Duergar",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Buckler_A",1,0,0,0,0,0,0,0
new treasuretable "_Junk"
new treasuretable "ST_FishingRods"
new subtable "1,1"
object category "I_PF2_WPN_CombatFishingPole",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_CombatFishingPole_B",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_CombatFishingPole_C",1,0,0,0,0,0,0,0
new treasuretable "ST_Kits"
CanMerge 1
new subtable "1,1"
object category "I_OBJ_Tool_Hammer",1,0,0,0,0,0,0,0
object category "I_PF2_OBJ_Tool_HealersToolkit",1,0,0,0,0,0,0,0
object category "I_PF2_OBJ_Tool_MarvelousMedicines",1,0,0,0,0,0,0,0
object category "I_PF2_OBJ_Tool_InfiltratorThievesToolkit",1,0,0,0,0,0,0,0
new treasuretable "_MagicItems"
new treasuretable "MagicItems_Common"
CanMerge 1
new subtable "1,1; 2,1; 3,1"
object category "T_ST_Amulets_Common",1,0,0,0,0,0,0,0
object category "T_ST_Cloaks_Common",1,0,0,0,0,0,0,0
object category "T_ST_Handwear_Common",1,0,0,0,0,0,0,0
object category "T_ST_Headwear_Common",1,0,0,0,0,0,0,0
object category "T_ST_Instruments_Common",1,0,0,0,0,0,0,0
object category "T_ST_Rings_Common",1,0,0,0,0,0,0,0
new treasuretable "MagicItems_Uncommon"
CanMerge 1
new subtable "1,1; 2,1; 3,1"
object category "T_ST_Amulets_Uncommon",1,0,0,0,0,0,0,0
object category "T_ST_Cloaks_Uncommon",1,0,0,0,0,0,0,0
object category "T_ST_Handwear_Uncommon",1,0,0,0,0,0,0,0
object category "T_ST_Headwear_Uncommon",1,0,0,0,0,0,0,0
object category "T_ST_Instruments_Uncommon",1,0,0,0,0,0,0,0
object category "T_ST_Rings_Uncommon",1,0,0,0,0,0,0,0
new treasuretable "MagicItems_Rare"
CanMerge 1
new subtable "1,1; 2,1; 3,1"
object category "T_ST_Amulets_Rare",1,0,0,0,0,0,0,0
object category "T_ST_Cloaks_Rare",1,0,0,0,0,0,0,0
object category "T_ST_Handwear_Rare",1,0,0,0,0,0,0,0
object category "T_ST_Headwear_Rare",1,0,0,0,0,0,0,0
object category "T_ST_Instruments_Rare",1,0,0,0,0,0,0,0
object category "T_ST_Rings_Rare",1,0,0,0,0,0,0,0
new treasuretable "MagicItems_VeryRare"
CanMerge 1
new subtable "1,1; 2,1; 3,1"
object category "T_ST_Amulets_VeryRare",1,0,0,0,0,0,0,0
object category "T_ST_Cloaks_VeryRare",1,0,0,0,0,0,0,0
object category "T_ST_Handwear_VeryRare",1,0,0,0,0,0,0,0
object category "T_ST_Headwear_VeryRare",1,0,0,0,0,0,0,0
object category "T_ST_Instruments_VeryRare",1,0,0,0,0,0,0,0
object category "T_ST_Rings_VeryRare",1,0,0,0,0,0,0,0
new treasuretable "ST_Amulets_Common"
CanMerge 1
new subtable "1,1"
object category "I_PF2_MAG_CharmResistance_Acid",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_CharmResistance_Cold",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_CharmResistance_Elec",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_CharmResistance_Fire",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_CharmResistance_Sonic",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Primeval_Mistletoe",1,0,0,0,0,0,0,0
new treasuretable "ST_Amulets_Uncommon"
CanMerge 1
new treasuretable "ST_Amulets_Rare"
CanMerge 1
new subtable "1,1"
object category "I_PF2_MAG_CharmResistance_GTR_Acid",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_CharmResistance_GTR_Cold",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_CharmResistance_GTR_Elec",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_CharmResistance_GTR_Fire",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_CharmResistance_GTR_Sonic",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Frightful_Hag_Eye",1,0,0,0,0,0,0,0
new treasuretable "ST_Amulets_VeryRare"
CanMerge 1
new treasuretable "ST_Cloaks_Common"
CanMerge 1
new treasuretable "ST_Cloaks_Uncommon"
CanMerge 1
new treasuretable "ST_Cloaks_Rare"
CanMerge 1
new subtable "1,1"
object category "I_PF2_MAG_Living_Mantle",1,0,0,0,0,0,0,0
new treasuretable "ST_Cloaks_VeryRare"
CanMerge 1
new treasuretable "ST_Handwear_Common"
CanMerge 1
new subtable "1,1"
object category "I_PF2_MAG_Charlatans_Gloves",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Healers_Gloves",1,0,0,0,0,0,0,0
new treasuretable "ST_Handwear_Uncommon"
CanMerge 1
new treasuretable "ST_Handwear_Rare"
CanMerge 1
new subtable "1,1"
object category "I_PF2_MAG_Charlatans_Gloves_GTR",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Healers_Gloves_GTR",1,0,0,0,0,0,0,0
new treasuretable "ST_Handwear_VeryRare"
CanMerge 1
new treasuretable "ST_Headwear_Common"
CanMerge 1
new subtable "1,1"
object category "I_PF2_MAG_Crown_Companion",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Druids_Crown_Antler",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Druids_Crown_Flower",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Druids_Crown_Leave",1,0,0,0,0,0,0,0
new treasuretable "ST_Headwear_Uncommon"
CanMerge 1
new subtable "1,1"
object category "I_PF2_MAG_Mages_Hat_A",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_B",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_C",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_D",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_E",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_F",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_G",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_H",1,0,0,0,0,0,0,0
new treasuretable "ST_Headwear_Rare"
CanMerge 1
new subtable "1,1"
object category "I_PF2_MAG_Mages_Hat_GTR_A1",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_GTR_B1",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_GTR_C1",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_GTR_D1",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_GTR_E1",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_GTR_F1",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_GTR_G1",1,0,0,0,0,0,0,0
object category "I_PF2_MAG_Mages_Hat_GTR_H1",1,0,0,0,0,0,0,0
new treasuretable "ST_Headwear_VeryRare"
CanMerge 1
new treasuretable "ST_Instruments_Common"
CanMerge 1
new subtable "1,1"
object category "I_PF2_ARM_Instrument_VirtuosoDrum",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Instrument_VirtuosoFlute",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Instrument_VirtuosoLute",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Instrument_VirtuosoLute_B",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Instrument_VirtuosoLyre",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Instrument_VirtuosoViolin",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Instrument_MaestroDrum",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Instrument_MaestroFlute",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Instrument_MaestroLute",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Instrument_MaestroLute_B",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Instrument_MaestroLyre",1,0,0,0,0,0,0,0
new subtable "1,1"
EndLevel "7"
object category "I_PF2_ARM_Instrument_MaestroViolin",1,0,0,0,0,0,0,0
new subtable "1,1"
StartLevel "8"
object category "I_PF2_ARM_Instrument_MaestroDrum_Gtr",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Instrument_MaestroFlute_Gtr",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Instrument_MaestroLute_Gtr",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Instrument_MaestroLute_B_Gtr",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Instrument_MaestroLyre_Gtr",1,0,0,0,0,0,0,0
object category "I_PF2_ARM_Instrument_MaestroViolin_Gtr",1,0,0,0,0,0,0,0
new treasuretable "ST_Instruments_Uncommon"
CanMerge 1
new treasuretable "ST_Instruments_Rare"
CanMerge 1
new treasuretable "ST_Instruments_VeryRare"
CanMerge 1
new treasuretable "ST_Rings_Common"
CanMerge 1
new subtable "1,1"
object category "I_PF2_MAG_Ring_Ram",1,0,0,0,0,0,0,0
new treasuretable "ST_Rings_Uncommon"
CanMerge 1
new treasuretable "ST_Rings_Rare"
CanMerge 1
new subtable "1,1"
object category "I_PF2_MAG_Ring_Ram_GTR",1,0,0,0,0,0,0,0
new treasuretable "ST_Rings_VeryRare"
CanMerge 1
new treasuretable "_Junk_Loot"
new treasuretable "GEN_Skeleton_Generic"
CanMerge 1
new subtable "1,1"
object category "I_OBJ_Dagger_A_1_Broken_Handle_A",1,0,0,0,0,0,0,0
object category "I_OBJ_Dagger_A_1_Broken_Tip_A",1,0,0,0,0,0,0,0
object category "I_OBJ_BrokenCane",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_HUM_Longbow_Broken",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_HUM_Longsword_Broken",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_HUM_Pike_Broken",1,0,0,0,0,0,0,0
object category "I_PF2_WPN_HUM_Quarterstaff_Broken",1,0,0,0,0,0,0,0
